"HS_ID","ID","PF","LOG10K"
9,"5","2.566","-2.9"
9,"5","2.586","-2.95"
9,"5","2.603","-3"
9,"5","2.62","-3.04"
9,"5","2.637","-3.08"
9,"5","2.653","-3.11"
9,"5","2.669","-3.14"
9,"5","2.684","-3.16"
9,"5","2.696","-3.17"
9,"5","2.706","-3.19"
9,"5","2.719","-3.22"
9,"5","2.737","-3.25"
9,"5","2.757","-3.25"
9,"5","2.778","-3.31"
9,"5","2.803","-3.44"
9,"5","3.362","-4.67"
9,"96","2.325","-2.26"
9,"96","2.307","-2.21"
9,"96","2.361","-2.39"
9,"96","2.378","-2.44"
9,"96","2.396","-2.48"
9,"96","2.413","-2.52"
9,"96","2.431","-2.57"
9,"96","2.448","-2.61"
9,"96","2.464","-2.65"
9,"96","2.481","-2.69"
9,"96","2.499","-2.73"
9,"96","2.517","-2.77"
9,"96","2.535","-2.81"
9,"96","2.551","-2.85"
9,"96","2.567","-2.9"
9,"96","2.583","-2.95"
9,"96","2.599","-2.98"
9,"96","2.614","-3.01"
9,"96","2.629","-3.07"
9,"96","2.644","-3.11"
9,"96","2.659","-3.13"
9,"96","2.674","-3.16"
9,"96","2.688","-3.18"
9,"96","2.701","-3.2"
9,"96","3.35","-4.48"
9,"96","1.783","-.32"
9,"96","1.824","-.53"
9,"96","1.867","-.7"
9,"96","1.91","-.86"
9,"96","1.951","-1"
9,"96","1.99","-1.12"
9,"96","2.025","-1.23"
9,"96","2.056","-1.31"
9,"96","2.084","-1.39"
9,"96","2.11","-1.46"
9,"96","2.133","-1.53"
9,"96","2.155","-1.59"
9,"96","2.176","-1.66"
9,"96","2.196","-1.73"
9,"96","2.215","-1.81"
9,"96","2.233","-1.89"
9,"96","2.252","-2"
9,"96","2.271","-2.1"
9,"96","2.289","-2.17"
9,"96","2.343","-2.32"
10,"32","1.757","-.28"
10,"32","3.365","-4.62"
10,"32","1.865","-.71"
10,"32","1.913","-.98"
10,"32","1.955","-1.27"
10,"32","1.994","-1.39"
10,"32","2.031","-1.5"
10,"32","2.064","-1.59"
10,"32","2.094","-1.68"
10,"32","2.12","-1.75"
10,"32","2.145","-1.82"
10,"32","2.168","-1.89"
10,"32","2.191","-1.95"
10,"32","2.213","-2.01"
10,"32","2.234","-2.07"
10,"32","2.255","-2.12"
10,"32","2.276","-2.17"
10,"32","2.295","-2.2"
10,"32","2.314","-2.23"
10,"32","2.328","-2.29"
10,"32","2.342","-2.37"
10,"32","2.359","-2.41"
10,"32","2.381","-2.45"
10,"32","2.406","-2.54"
10,"32","2.428","-2.65"
10,"32","2.448","-2.74"
10,"32","2.469","-2.79"
10,"32","2.491","-2.84"
10,"32","2.511","-2.89"
10,"32","2.532","-2.94"
10,"32","2.552","-2.98"
10,"32","2.572","-3.03"
10,"32","2.592","-3.08"
10,"32","2.613","-3.12"
10,"32","2.634","-3.17"
10,"32","2.655","-3.22"
10,"32","2.675","-3.26"
10,"32","2.695","-3.31"
10,"32","2.716","-3.35"
10,"32","2.736","-3.39"
10,"32","2.756","-3.44"
10,"32","2.776","-3.48"
10,"32","2.797","-3.52"
10,"32","2.817","-3.56"
10,"32","2.838","-3.6"
10,"32","2.859","-3.64"
10,"32","2.88","-3.68"
10,"32","2.902","-3.72"
10,"32","1.812","-.51"
10,"46","1.784","-.35"
10,"46","3.417","-5.74"
10,"46","1.873","-.81"
10,"46","1.912","-.98"
10,"46","1.945","-1.14"
10,"46","1.975","-1.29"
10,"46","2.003","-1.43"
10,"46","2.03","-1.55"
10,"46","2.057","-1.67"
10,"46","2.084","-1.76"
10,"46","2.11","-1.85"
10,"46","2.136","-1.96"
10,"46","2.163","-2.08"
10,"46","2.191","-2.17"
10,"46","2.218","-2.24"
10,"46","2.244","-2.32"
10,"46","2.269","-2.39"
10,"46","2.293","-2.45"
10,"46","2.317","-2.51"
10,"46","2.34","-2.56"
10,"46","2.362","-2.61"
10,"46","2.384","-2.65"
10,"46","2.407","-2.68"
10,"46","2.428","-2.71"
10,"46","2.45","-2.76"
10,"46","2.472","-2.81"
10,"46","2.493","-2.86"
10,"46","2.515","-2.91"
10,"46","2.54","-2.96"
10,"46","2.566","-3.01"
10,"46","2.592","-3.05"
10,"46","2.617","-3.1"
10,"46","2.641","-3.15"
10,"46","2.666","-3.2"
10,"46","2.69","-3.25"
10,"46","2.713","-3.3"
10,"46","2.735","-3.36"
10,"46","2.759","-3.42"
10,"46","2.782","-3.45"
10,"46","2.805","-3.55"
10,"46","2.827","-3.67"
10,"46","1.83","-.6"
10,"47","2.692","-3.27"
10,"47","2.719","-3.35"
10,"47","2.748","-3.42"
10,"47","2.777","-3.48"
10,"47","2.804","-3.53"
10,"47","2.829","-3.57"
10,"47","2.852","-3.6"
10,"47","2.873","-3.62"
10,"47","2.897","-3.62"
10,"47","2.931","-3.7"
10,"47","2.963","-3.86"
10,"47","2.987","-4.02"
10,"47","3.012","-4.13"
10,"47","3.036","-4.2"
10,"47","3.422","-4.68"
10,"47","1.819","-.72"
10,"47","1.866","-.98"
10,"47","1.91","-1.19"
10,"47","1.95","-1.37"
10,"47","1.988","-1.51"
10,"47","2.024","-1.63"
10,"47","2.057","-1.74"
10,"47","2.09","-1.84"
10,"47","2.122","-1.93"
10,"47","2.152","-2.02"
10,"47","2.182","-2.1"
10,"47","2.211","-2.17"
10,"47","2.24","-2.24"
10,"47","2.265","-2.3"
10,"47","2.289","-2.35"
10,"47","2.315","-2.4"
10,"47","2.34","-2.46"
10,"47","2.363","-2.55"
10,"47","2.388","-2.64"
10,"47","2.414","-2.7"
10,"47","2.441","-2.77"
10,"47","2.473","-2.83"
10,"47","2.505","-2.9"
10,"47","2.533","-2.96"
10,"47","2.559","-3.01"
10,"47","2.584","-3.05"
10,"47","2.605","-3.09"
10,"47","2.624","-3.13"
10,"47","2.645","-3.19"
10,"47","2.668","-3.23"
10,"71","2.225","-2.23"
10,"71","2.202","-2.16"
10,"71","2.271","-2.34"
10,"71","2.292","-2.39"
10,"71","2.314","-2.45"
10,"71","2.337","-2.55"
10,"71","2.359","-2.62"
10,"71","2.38","-2.66"
10,"71","2.401","-2.71"
10,"71","2.422","-2.77"
10,"71","2.443","-2.81"
10,"71","2.464","-2.84"
10,"71","2.484","-2.88"
10,"71","2.505","-2.92"
10,"71","2.524","-2.95"
10,"71","2.545","-3"
10,"71","2.567","-3.04"
10,"71","2.587","-3.09"
10,"71","2.609","-3.14"
10,"71","2.622","-3.16"
10,"71","2.642","-3.21"
10,"71","2.67","-3.29"
10,"71","2.691","-3.35"
10,"71","2.711","-3.41"
10,"71","2.729","-3.44"
10,"71","2.748","-3.48"
10,"71","2.767","-3.54"
10,"71","2.786","-3.58"
10,"71","2.806","-3.61"
10,"71","2.827","-3.65"
10,"71","2.849","-3.68"
10,"71","2.872","-3.72"
10,"71","2.895","-3.76"
10,"71","3.362","-4.61"
10,"71","1.743","-.23"
10,"71","1.797","-.56"
10,"71","1.847","-.79"
10,"71","1.889","-1.03"
10,"71","1.926","-1.28"
10,"71","1.959","-1.4"
10,"71","1.99","-1.51"
10,"71","2.019","-1.6"
10,"71","2.047","-1.7"
10,"71","2.074","-1.78"
10,"71","2.101","-1.86"
10,"71","2.127","-1.95"
10,"71","2.152","-2.02"
10,"71","2.177","-2.09"
10,"71","2.248","-2.29"
11,"29","2.533","-2.7"
11,"29","2.56","-2.75"
11,"29","2.587","-2.8"
11,"29","2.611","-2.85"
11,"29","2.635","-2.89"
11,"29","2.66","-2.93"
11,"29","2.683","-2.97"
11,"29","2.706","-3.01"
11,"29","2.728","-3.05"
11,"29","2.751","-3.09"
11,"29","2.774","-3.13"
11,"29","2.797","-3.18"
11,"29","2.818","-3.23"
11,"29","2.838","-3.29"
11,"29","2.858","-3.34"
11,"29","2.877","-3.35"
11,"29","2.896","-3.36"
11,"29","2.915","-3.44"
11,"29","2.935","-3.49"
11,"29","2.956","-3.53"
11,"29","3.451","-4.49"
11,"29","1.888","-.51"
11,"29","1.936","-.74"
11,"29","1.985","-.95"
11,"29","2.032","-1.14"
11,"29","2.075","-1.29"
11,"29","2.116","-1.42"
11,"29","2.153","-1.54"
11,"29","2.19","-1.66"
11,"29","2.225","-1.77"
11,"29","2.259","-1.88"
11,"29","2.292","-1.99"
11,"29","2.324","-2.1"
11,"29","2.356","-2.23"
11,"29","2.388","-2.36"
11,"29","2.419","-2.46"
11,"29","2.448","-2.51"
11,"29","2.477","-2.56"
11,"29","2.506","-2.63"
11,"44","1.977","-.85"
11,"44","3.639","-4.41"
11,"44","2.048","-1.26"
11,"44","2.084","-1.48"
11,"44","2.122","-1.6"
11,"44","2.16","-1.67"
11,"44","2.198","-1.73"
11,"44","2.233","-1.79"
